page_url,image_url,saved_path
"https://www.druplicon.org/index.php/druplicon/drupalcamp-fox-valley-2014","https://www.druplicon.org/sites/default/files/druplicons/fox.png","/Users/mgifford/ox.ca/presentations/ca-slides/assets/drupal/originals/drupalcamp-fox-valley-2014_fox.png"
"https://www.druplicon.org/index.php/druplicon/drupalcamp-lannion-2017","https://www.druplicon.org/sites/default/files/druplicons/lannion.png","/Users/mgifford/ox.ca/presentations/ca-slides/assets/drupal/originals/drupalcamp-lannion-2017_lannion.png"
"https://www.druplicon.org/index.php/druplicon/drupalcamp-new-jersey","https://www.druplicon.org/sites/default/files/druplicons/media_1397581263076.png","/Users/mgifford/ox.ca/presentations/ca-slides/assets/drupal/originals/drupalcamp-new-jersey_media_1397581263076.png"
"https://www.druplicon.org/index.php/druplicon/badcamp-2014","https://www.druplicon.org/sites/default/files/druplicons/badcamp-logo_0.png","/Users/mgifford/ox.ca/presentations/ca-slides/assets/drupal/originals/badcamp-2014_badcamp-logo_0.png"
"https://www.druplicon.org/index.php/druplicon/badcamp-2016","https://www.druplicon.org/sites/default/files/druplicons/badcamp-2016-logo.png","/Users/mgifford/ox.ca/presentations/ca-slides/assets/drupal/originals/badcamp-2016_badcamp-2016-logo.png"
"https://www.druplicon.org/index.php/druplicon/badcamp-2017","https://www.druplicon.org/sites/default/files/druplicons/badcamp17.jpg","/Users/mgifford/ox.ca/presentations/ca-slides/assets/drupal/originals/badcamp-2017_badcamp17.jpg"
"https://www.druplicon.org/index.php/druplicon/badcamp-2020","https://www.druplicon.org/sites/default/files/druplicons/BADCamp%20Logo%20-%202011%20%28Site%20Version%20-%20LQ%29.png","/Users/mgifford/ox.ca/presentations/ca-slides/assets/drupal/originals/badcamp-2020_BADCamp%20Logo%20-%202011%20%28Site%20Version%20-%20LQ%29.png"
"https://www.druplicon.org/index.php/druplicon/baltimore-drupal-camp","https://www.druplicon.org/sites/default/files/druplicons/BDC.png","/Users/mgifford/ox.ca/presentations/ca-slides/assets/drupal/originals/baltimore-drupal-camp_BDC.png"
"https://www.druplicon.org/index.php/druplicon/brad-czerniak","https://www.druplicon.org/sites/default/files/druplicons/image08.jpg","/Users/mgifford/ox.ca/presentations/ca-slides/assets/drupal/originals/brad-czerniak_image08.jpg"
"https://www.druplicon.org/index.php/druplicon/druapal-camp-bolivia-2013","https://www.druplicon.org/sites/default/files/druplicons/DrupalCamp%20Bolivia%202013.png","/Users/mgifford/ox.ca/presentations/ca-slides/assets/drupal/originals/druapal-camp-bolivia-2013_DrupalCamp%20Bolivia%202013.png"
"https://www.druplicon.org/druplicon/drupacamp-ohio","https://www.druplicon.org/sites/default/files/druplicons/Ohio.jpg","/Users/mgifford/ox.ca/presentations/ca-slides/assets/drupal/originals/drupacamp-ohio_Ohio.jpg"
"https://www.druplicon.org/index.php/druplicon/drupal-bolivia","https://www.druplicon.org/sites/default/files/druplicons/logo-Drupal-Bolivia-OFICIAL_150dpi%20%281%29.png","/Users/mgifford/ox.ca/presentations/ca-slides/assets/drupal/originals/drupal-bolivia_logo-Drupal-Bolivia-OFICIAL_150dpi%20%281%29.png"
"https://www.druplicon.org/index.php/druplicon/drupal-business-and-community-days","https://www.druplicon.org/sites/default/files/druplicons/drupal-business-and-community-days-druplicon.png","/Users/mgifford/ox.ca/presentations/ca-slides/assets/drupal/originals/drupal-business-and-community-days_drupal-business-and-community-days-druplicon.png"
"https://www.druplicon.org/index.php/druplicon/drupal-australia","https://www.druplicon.org/sites/default/files/druplicons/DrupalAustralia-blubg.png","/Users/mgifford/ox.ca/presentations/ca-slides/assets/drupal/originals/drupal-australia_DrupalAustralia-blubg.png"
"https://www.druplicon.org/druplicon/drupalcamp-atlanta","https://www.druplicon.org/sites/default/files/druplicons/drupal_atlanta.jpg","/Users/mgifford/ox.ca/presentations/ca-slides/assets/drupal/originals/drupalcamp-atlanta_drupal_atlanta.jpg"
"https://www.druplicon.org/index.php/druplicon/drupalcamp-atlanta-2009","https://www.druplicon.org/sites/default/files/druplicons/orange.png","/Users/mgifford/ox.ca/presentations/ca-slides/assets/drupal/originals/drupalcamp-atlanta-2009_orange.png"
"https://www.druplicon.org/druplicon/drupalcamp-idaho-2012","https://www.druplicon.org/sites/default/files/druplicons/drupalcampidaho2012.png","/Users/mgifford/ox.ca/presentations/ca-slides/assets/drupal/originals/drupalcamp-idaho-2012_drupalcampidaho2012.png"
"https://www.druplicon.org/index.php/druplicon/drupalcamp-nyc-2014","https://www.druplicon.org/sites/default/files/druplicons/Druplicon-apple.jpg","/Users/mgifford/ox.ca/presentations/ca-slides/assets/drupal/originals/drupalcamp-nyc-2014_Druplicon-apple.jpg"
"https://www.druplicon.org/druplicon/drupalcamp-twin-cities-2012","https://www.druplicon.org/sites/default/files/druplicons/twin.jpg","/Users/mgifford/ox.ca/presentations/ca-slides/assets/drupal/originals/drupalcamp-twin-cities-2012_twin.jpg"
"https://www.druplicon.org/druplicon/drupalcamp-valencia-2014","https://www.druplicon.org/sites/default/files/druplicons/media_1397573224805.png","/Users/mgifford/ox.ca/presentations/ca-slides/assets/drupal/originals/drupalcamp-valencia-2014_media_1397573224805.png"
"https://www.druplicon.org/druplicon/drupalcon-szeged-2008-2","https://www.druplicon.org/sites/default/files/druplicons/szeged2008.png","/Users/mgifford/ox.ca/presentations/ca-slides/assets/drupal/originals/drupalcon-szeged-2008-2_szeged2008.png"
"https://www.druplicon.org/druplicon/drupalcon-szeged-2008","https://www.druplicon.org/sites/default/files/druplicons/drupalcon_szeged2008.png","/Users/mgifford/ox.ca/presentations/ca-slides/assets/drupal/originals/drupalcon-szeged-2008_drupalcon_szeged2008.png"
"https://www.druplicon.org/index.php/druplicon/drupalcorn-camp-2015","https://www.druplicon.org/sites/default/files/druplicons/DrupalCorn_center_logo.png","/Users/mgifford/ox.ca/presentations/ca-slides/assets/drupal/originals/drupalcorn-camp-2015_DrupalCorn_center_logo.png"
"https://www.druplicon.org/index.php/druplicon/drupical","https://www.druplicon.org/sites/default/files/druplicons/drupical.png","/Users/mgifford/ox.ca/presentations/ca-slides/assets/drupal/originals/drupical_drupical.png"
"https://www.druplicon.org/druplicon/druplicon-lemon","https://www.druplicon.org/sites/default/files/druplicons/druplicon-lemone.jpg","/Users/mgifford/ox.ca/presentations/ca-slides/assets/drupal/originals/druplicon-lemon_druplicon-lemone.jpg"
"https://www.druplicon.org/index.php/druplicon/druplicon-shape-leaf","https://www.druplicon.org/sites/default/files/druplicons/druplicon-leaf.jpg","/Users/mgifford/ox.ca/presentations/ca-slides/assets/drupal/originals/druplicon-shape-leaf_druplicon-leaf.jpg"
"https://www.druplicon.org/druplicon/wunderkraut","https://www.druplicon.org/sites/default/files/druplicons/wunderkraut-logo_0.png","/Users/mgifford/ox.ca/presentations/ca-slides/assets/drupal/originals/wunderkraut_wunderkraut-logo_0.png"
"https://www.druplicon.org/druplicon/42-druplicon","https://www.druplicon.org/sites/default/files/druplicons/fortytwo_logo_0.png","/Users/mgifford/ox.ca/presentations/ca-slides/assets/drupal/originals/42-druplicon.png"
"https://www.druplicon.org/index.php/druplicon/5net-company","https://www.druplicon.org/sites/default/files/druplicons/5net_1.png","/Users/mgifford/ox.ca/presentations/ca-slides/assets/drupal/originals/5net-company.png"
"https://www.druplicon.org/index.php/druplicon/agiledrop","https://www.druplicon.org/sites/default/files/druplicons/agiledrop-icon.jpg","/Users/mgifford/ox.ca/presentations/ca-slides/assets/drupal/originals/agiledrop.jpg"
"https://www.druplicon.org/druplicon/annoying-druplicon","https://www.druplicon.org/sites/default/files/druplicons/annoying-druplicon.jpg","/Users/mgifford/ox.ca/presentations/ca-slides/assets/drupal/originals/annoying-druplicon.jpg"
"https://www.druplicon.org/index.php/druplicon/association-drupal-france","https://www.druplicon.org/sites/default/files/druplicons/logo-france.png","/Users/mgifford/ox.ca/presentations/ca-slides/assets/drupal/originals/association-drupal-france.png"
"https://www.druplicon.org/index.php/druplicon/drupalcamp-lisboa-2014","https://www.druplicon.org/sites/default/files/druplicons/drupal-portugal.jpg","/Users/mgifford/ox.ca/presentations/ca-slides/assets/drupal/originals/drupalcamp-lisboa-2014.jpg"
"https://www.druplicon.org/index.php/druplicon/behat-drupal-extension","https://www.druplicon.org/sites/default/files/druplicons/beehat-drupalicon.png","/Users/mgifford/ox.ca/presentations/ca-slides/assets/drupal/originals/behat-drupal-extension.png"
"https://www.druplicon.org/druplicon/bootstrap-paragraphs","https://www.druplicon.org/sites/default/files/druplicons/Bootstrap%20Paragraphs%20Logo.png","/Users/mgifford/ox.ca/presentations/ca-slides/assets/drupal/originals/bootstrap-paragraphs.png"
"https://www.druplicon.org/index.php/druplicon/brazilian-drupal-community","https://www.druplicon.org/sites/default/files/druplicons/home_spot_logo.gif","/Users/mgifford/ox.ca/presentations/ca-slides/assets/drupal/originals/brazilian-drupal-community.gif"
"https://www.druplicon.org/druplicon/cheppers","https://www.druplicon.org/sites/default/files/druplicons/cheppers-logo.png","/Users/mgifford/ox.ca/presentations/ca-slides/assets/drupal/originals/cheppers.png"
"https://www.druplicon.org/druplicon/composer","https://www.druplicon.org/sites/default/files/druplicons/druplicon%20conductor.png","/Users/mgifford/ox.ca/presentations/ca-slides/assets/drupal/originals/composer.png"
